ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
03750.HK,20250630,330.0,331.8,322.8,329.2,327.0,2.2,0.67,2302023,753409419.5
03750.HK,20250702,333.8,334.6,325.2,334.6,329.2,5.4,1.64,3264625,1077570986.6
03750.HK,20250703,335.0,343.8,334.2,343.6,334.6,9.0,2.69,4135119,1405945515.08
03750.HK,20250704,360.0,360.0,345.2,357.0,343.6,13.4,3.9,5687850,2013820123.88
03750.HK,20250707,363.0,364.0,347.0,354.0,357.0,-3.0,-0.84,2164489,763917023.3
03750.HK,20250708,354.0,361.0,350.8,359.2,354.0,5.2,1.47,2208799,788308792.189
03750.HK,20250709,361.8,389.4,360.2,385.0,359.2,25.8,7.18,5694532,2159927081.4
03750.HK,20250710,395.0,395.0,377.6,382.4,385.0,-2.6,-0.68,3662682,1405893357.8
03750.HK,20250711,383.0,384.0,372.0,377.4,382.4,-5.0,-1.31,3059417,1151299307.6
03750.HK,20250714,377.2,379.8,369.0,374.0,377.4,-3.4,-0.9,2004780,748718457.57
03750.HK,20250715,379.0,383.8,375.4,377.2,374.0,3.2,0.86,1522592,576860573.15
03750.HK,20250716,378.0,378.8,372.0,375.0,377.2,-2.2,-0.58,1342783,503028200.61
03750.HK,20250717,376.0,380.4,373.0,374.0,375.0,-1.0,-0.27,1106987,416405095.2
03750.HK,20250718,383.8,398.4,380.2,395.0,374.0,21.0,5.61,3000106,1169323201.32
03750.HK,20250721,395.0,420.0,395.0,418.2,395.0,23.2,5.87,4455123,1839332191.5
03750.HK,20250722,422.2,434.8,418.8,428.0,418.2,9.8,2.34,3864154,1652846661.8
03750.HK,20250723,427.0,440.0,424.6,434.0,428.0,6.0,1.4,2851797,1231644448.3
03750.HK,20250724,438.4,438.6,422.2,428.6,434.0,-5.4,-1.24,2348108,1003370818.672
03750.HK,20250725,433.0,433.0,420.0,423.0,428.6,-5.6,-1.31,1682323,715333531.0
03750.HK,20250728,425.0,451.2,420.2,449.4,423.0,26.4,6.24,3224667,1424017716.8
03750.HK,20250729,451.4,462.0,446.6,462.0,449.4,12.6,2.8,3003326,1367706547.2
03750.HK,20250730,462.0,468.0,422.2,426.6,462.0,-35.4,-7.66,5603934,2442052781.796
03750.HK,20250731,421.0,430.6,405.0,406.2,426.6,-20.4,-4.78,4591040,1898557249.1
03750.HK,20250801,400.0,409.6,399.0,403.0,406.2,-3.2,-0.79,3527580,1424234453.1
03750.HK,20250804,404.6,417.4,403.4,417.4,403.0,14.4,3.57,2871946,1178871338.7
03750.HK,20250805,416.4,417.4,405.2,412.0,417.4,-5.4,-1.29,2368392,968497909.2
03750.HK,20250806,415.8,416.0,409.2,412.2,412.0,0.2,0.05,984344,404904790.6
03750.HK,20250807,410.0,411.8,400.2,402.0,412.2,-10.2,-2.47,1633397,659414410.4
03750.HK,20250808,407.0,408.2,403.8,407.0,402.0,5.0,1.24,1414171,574396772.0
03750.HK,20250811,411.0,418.4,408.6,416.4,407.0,9.4,2.31,1632537,676263905.8
03750.HK,20250812,421.0,421.0,407.2,415.8,415.296,0.504,0.12,1184086,489873955.8
03750.HK,20250813,425.0,425.0,413.8,422.6,415.8,6.8,1.64,1517377,638929498.62
03750.HK,20250814,425.0,425.0,415.0,419.8,422.6,-2.8,-0.66,1282320,538635018.1
03750.HK,20250815,420.8,421.0,409.2,415.8,419.8,-4.0,-0.95,1350369,559758772.4
03750.HK,20250818,417.0,420.6,412.4,414.0,415.8,-1.8,-0.43,1052831,437284325.0
03750.HK,20250819,414.0,414.6,403.0,404.8,414.0,-9.2,-2.22,1864469,757790422.4
03750.HK,20250820,405.0,409.2,401.0,406.8,404.8,2.0,0.49,1221065,493521291.4
03750.HK,20250821,410.0,411.0,403.4,406.0,406.8,-0.8,-0.2,1137773,461702394.1
03750.HK,20250822,406.0,418.0,405.6,418.0,406.0,12.0,2.96,1780538,737347134.4
03750.HK,20250825,421.0,424.4,411.6,413.0,418.0,-5.0,-1.2,2389290,993360470.6
03750.HK,20250826,411.4,415.2,408.0,414.6,413.0,1.6,0.39,2962368,1225173298.26
03750.HK,20250827,422.2,422.2,408.2,410.2,414.6,-4.4,-1.06,1234478,509686790.11
03750.HK,20250828,410.2,412.6,403.8,407.2,410.2,-3.0,-0.73,914159,372436924.1
03750.HK,20250829,413.6,443.0,407.4,424.2,407.2,17.0,4.17,6137206,2633294554.0
03750.HK,20250901,424.2,426.4,414.0,421.0,424.2,-3.2,-0.75,1545197,647241465.7
03750.HK,20250902,423.0,427.8,411.6,417.6,421.0,-3.4,-0.81,1671442,697781634.96
03750.HK,20250903,421.0,424.6,417.6,422.0,417.6,4.4,1.05,1427049,601112063.5
03750.HK,20250904,423.0,434.2,413.0,420.0,422.0,-2.0,-0.47,2545848,1074931950.4
03750.HK,20250905,416.8,433.8,413.2,432.2,420.0,12.2,2.9,4313040,1854208082.97
03750.HK,20250908,434.8,441.4,428.0,430.4,432.2,-1.8,-0.42,1728309,746920463.4
03750.HK,20250909,433.2,436.6,428.0,431.0,430.4,0.6,0.14,1373205,592139786.6
03750.HK,20250910,435.0,442.4,426.0,426.0,431.0,-5.0,-1.16,2519406,1085426220.6
03750.HK,20250911,428.2,432.2,418.2,428.8,426.0,2.8,0.66,1445714,616521374.8
03750.HK,20250912,428.8,437.6,426.8,432.8,428.8,4.0,0.93,1701972,734766798.356
03750.HK,20250915,434.0,476.8,434.0,465.0,432.8,32.2,7.44,6299919,2907920216.2
03750.HK,20250916,478.0,479.2,464.0,477.0,465.0,12.0,2.58,3414730,1618007155.56
03750.HK,20250917,482.4,508.0,480.2,502.5,477.0,25.5,5.35,4383694,2190775983.9
03750.HK,20250918,504.0,516.5,494.0,505.0,502.5,2.5,0.5,3591684,1816571878.4
03750.HK,20250919,515.0,521.0,502.5,515.5,505.0,10.5,2.08,2823417,1454589062.81
03750.HK,20250922,523.5,523.5,502.0,511.0,515.5,-4.5,-0.87,2449802,1245621421.2
03750.HK,20250923,505.5,511.0,491.4,501.5,511.0,-9.5,-1.86,2900705,1446787404.18
03750.HK,20250924,495.0,509.5,495.0,506.0,501.5,4.5,0.9,1621586,816614590.224
03750.HK,20250925,509.0,535.5,506.5,532.0,506.0,26.0,5.14,3742882,1966372636.34
03750.HK,20250926,525.0,546.0,524.0,530.5,532.0,-1.5,-0.28,2849440,1522134236.32
03750.HK,20250929,549.0,561.5,540.0,547.0,530.5,16.5,3.11,3249995,1792964643.2
03750.HK,20250930,555.0,573.0,553.0,571.5,547.0,24.5,4.48,2549440,1444026185.86
03750.HK,20251002,600.0,610.0,576.0,605.5,571.5,34.0,5.95,2435556,1452697054.0
03750.HK,20251003,595.5,614.0,586.0,610.5,605.5,5.0,0.83,1647357,991934898.9
03750.HK,20251006,586.0,600.0,586.0,596.5,610.5,-14.0,-2.29,1232980,730821881.6
03750.HK,20251008,593.0,596.0,577.0,581.0,596.5,-15.5,-2.6,1644030,959589642.79
03750.HK,20251009,583.5,592.5,567.5,585.0,581.0,4.0,0.69,2833182,1649066076.25
03750.HK,20251010,566.5,576.5,539.5,543.0,585.0,-42.0,-7.18,5026484,2755783239.5
03750.HK,20251013,515.0,555.0,514.0,547.5,543.0,4.5,0.83,3518237,1900615550.2
03750.HK,20251014,567.5,568.0,528.0,532.5,547.5,-15.0,-2.74,2079238,1130645298.2
03750.HK,20251015,539.5,545.0,520.5,542.0,532.5,9.5,1.78,2188262,1168905959.95
03750.HK,20251016,545.0,548.0,525.0,535.5,542.0,-6.5,-1.2,1372719,733816765.72
03750.HK,20251017,541.0,542.5,515.5,521.5,535.5,-14.0,-2.61,1624498,848071024.0
03750.HK,20251020,533.0,538.5,524.0,528.0,521.5,6.5,1.25,1732723,921323436.5
03750.HK,20251021,543.0,560.0,535.5,544.0,528.0,16.0,3.03,2721782,1497620258.9
03750.HK,20251022,549.5,552.0,533.0,546.0,544.0,2.0,0.37,1815051,981291239.96
03750.HK,20251023,541.5,541.5,526.5,535.0,546.0,-11.0,-2.01,1566528,834275641.2
03750.HK,20251024,541.0,554.0,540.0,553.5,535.0,18.5,3.46,1748224,960529485.9
03750.HK,20251027,568.5,571.0,548.0,561.5,553.5,8.0,1.45,2156051,1202609300.8
03750.HK,20251028,566.5,566.5,551.5,560.5,561.5,-1.0,-0.18,1398576,784669445.5
03750.HK,20251030,590.0,590.0,562.5,574.5,560.5,14.0,2.5,2298186,1318768060.0
03750.HK,20251031,575.0,581.0,557.5,558.5,574.5,-16.0,-2.79,1329926,756096027.7
03750.HK,20251103,555.0,558.5,540.0,555.0,558.5,-3.5,-0.63,1161349,637610962.88
03750.HK,20251104,556.0,556.0,536.5,548.0,555.0,-7.0,-1.26,1515436,821169593.1
03750.HK,20251105,530.0,549.0,525.5,547.5,548.0,-0.5,-0.09,1940808,1043305406.78
03750.HK,20251106,548.0,559.5,546.0,554.5,547.5,7.0,1.28,1597062,882868148.4
03750.HK,20251107,566.0,566.0,550.0,558.5,554.5,4.0,0.72,1006367,558996824.0
03750.HK,20251110,553.5,554.5,541.0,548.0,558.5,-10.5,-1.88,1262972,688819187.0
03750.HK,20251111,546.0,547.0,538.5,542.5,548.0,-5.5,-1.0,971369,526341088.3
03750.HK,20251112,544.5,551.5,540.0,550.0,542.5,7.5,1.38,1419156,774371024.2
03750.HK,20251113,540.0,582.0,540.0,567.5,550.0,17.5,3.18,2604347,1475004442.4
